Site Name,Hog Park Reservoir-LPD,,,,Date,6/30/2022,
Date Time,Depth (m),Temp (°C),pH (SU),Spc. Cond. (µS/cm),RDO (mg/L),RDO (%Sat),ORP (mV)
11:51:19 AM,23.31146,6.927929,6.192458,17.42554,6.784015,75.3125,126.8832
11:51:21 AM,23.30194,6.926022,6.190284,17.42521,6.770902,75.16325,126.8638
11:51:23 AM,23.29242,6.924115,6.188111,17.42487,6.757789,75.014,126.8444
11:51:25 AM,23.2829,6.922207,6.185937,17.42454,6.744676,74.86475,126.8251
11:51:27 AM,22.54384,6.319731,6.180795,17.7229,6.915986,75.60387,125.0888
11:51:29 AM,22.50996,6.29416,6.17984,17.73488,6.91865,75.5841,125.0136
11:51:31 AM,22.47608,6.268589,6.178885,17.74687,6.921314,75.56432,124.9384
11:51:33 AM,22.4422,6.243019,6.177929,17.75886,6.923977,75.54456,124.8632
11:51:35 AM,21.63417,6.017544,6.160647,17.45754,7.309736,79.29206,126.5007
11:51:37 AM,21.58863,5.998055,6.15982,17.45045,7.328045,79.45366,126.5368
11:51:39 AM,21.54308,5.978565,6.158992,17.44337,7.346354,79.61526,126.573
11:51:41 AM,21.49754,5.959075,6.158165,17.43628,7.364664,79.77687,126.6091
11:51:43 AM,20.64611,6.036965,6.147283,17.34878,7.577912,82.24852,128.5174
11:51:45 AM,20.59729,6.03588,6.146529,17.34022,7.593188,82.41244,128.6216
11:51:47 AM,20.54848,6.034794,6.145776,17.33167,7.608465,82.57635,128.7259
11:51:49 AM,20.49966,6.033709,6.145022,17.32312,7.623742,82.74027,128.8302
11:51:51 AM,19.74309,6.078738,6.140532,17.29059,7.787703,84.61786,130.0003
11:51:53 AM,19.69731,6.081606,6.140153,17.28769,7.798232,84.73824,130.0807
11:51:55 AM,19.65154,6.084475,6.139774,17.28479,7.808761,84.85862,130.1611
11:51:57 AM,19.60576,6.087343,6.139395,17.28189,7.819289,84.979,130.2415
11:51:59 AM,18.96839,6.107538,6.135707,17.28995,7.939188,86.32795,131.414
11:52:01 AM,18.92903,6.109099,6.135471,17.28961,7.947045,86.41678,131.4828
11:52:03 AM,18.88968,6.11066,6.135235,17.28926,7.954902,86.50561,131.5517
11:52:05 AM,18.85033,6.11222,6.134999,17.28892,7.962759,86.59444,131.6205
11:52:07 AM,18.08782,6.127342,6.129872,17.29837,8.056099,87.64161,132.9641
11:52:09 AM,18.04521,6.128339,6.129595,17.29886,8.062088,87.70889,133.04
11:52:11 AM,18.00259,6.129337,6.129317,17.29935,8.068077,87.77618,133.116
11:52:13 AM,17.95997,6.130334,6.12904,17.29984,8.074066,87.84346,133.1919
11:52:15 AM,17.21113,6.146185,6.123636,17.29485,8.161661,88.83239,134.3551
11:52:17 AM,17.16668,6.147117,6.123322,17.2948,8.166971,88.89223,134.427
11:52:19 AM,17.12223,6.148049,6.123008,17.29475,8.17228,88.95206,134.4989
11:52:21 AM,17.07779,6.148981,6.122694,17.29471,8.17759,89.01189,134.5708
11:52:23 AM,16.29987,6.195249,6.117025,17.28247,8.232328,89.71594,135.6303
11:52:25 AM,16.25449,6.197423,6.116695,17.28189,8.236176,89.76289,135.6949
11:52:27 AM,16.20911,6.199596,6.116366,17.28131,8.240025,89.80982,135.7594
11:52:29 AM,16.16373,6.20177,6.116037,17.28073,8.243873,89.85677,135.824
11:52:31 AM,15.35608,6.241904,6.110579,17.27749,8.280991,90.34964,136.93
11:52:33 AM,15.30889,6.244359,6.110253,17.27715,8.283539,90.38291,136.9947
11:52:35 AM,15.26171,6.246813,6.109927,17.2768,8.286088,90.41619,137.0594
11:52:37 AM,15.21453,6.249268,6.109601,17.27646,8.288637,90.44947,137.1241
11:52:39 AM,14.38906,6.3076,6.103918,17.27941,8.324034,90.97398,138.0872
11:52:41 AM,14.34063,6.310709,6.103586,17.27947,8.326183,91.00467,138.1467
11:52:43 AM,14.29221,6.313819,6.103254,17.27952,8.328333,91.03536,138.2062
11:52:45 AM,14.24378,6.316928,6.102922,17.27958,8.330482,91.06606,138.2658
11:52:47 AM,13.45718,6.412828,6.097351,17.24649,8.345423,91.448,139.3671
11:52:49 AM,13.40988,6.417807,6.097019,17.24518,8.34669,91.47329,139.4299
11:52:51 AM,13.36257,6.422785,6.096687,17.24387,8.347959,91.49857,139.4928
11:52:53 AM,13.31526,6.427764,6.096355,17.24257,8.349226,91.52386,139.5556
11:52:55 AM,12.49532,6.559011,6.096674,17.23341,8.354368,91.88885,140.2357
11:52:57 AM,12.44676,6.566181,6.096584,17.23246,8.354879,91.91118,140.2842
11:52:59 AM,12.39819,6.57335,6.096494,17.2315,8.355391,91.9335,140.3326
11:53:01 AM,12.34963,6.58052,6.096405,17.23054,8.355902,91.95583,140.3811
11:53:03 AM,11.57647,6.762059,6.086374,17.19777,8.388083,92.73392,141.6423
11:53:05 AM,11.52897,6.771985,6.085961,17.19623,8.389522,92.77297,141.7076
11:53:07 AM,11.48147,6.781911,6.085548,17.19469,8.390961,92.81202,141.7729
11:53:09 AM,10.84118,7.083576,6.078063,17.20392,8.360852,93.18031,142.3682
11:53:11 AM,10.80034,7.099483,6.077575,17.20374,8.360138,93.2094,142.4155
11:53:13 AM,10.759504,7.11539,6.077087,17.20355,8.359425,93.23849,142.4628
11:53:15 AM,10.718667,7.131297,6.076599,17.20337,8.35871,93.26758,142.5101
11:53:17 AM,9.988042,7.289214,6.070398,17.19417,8.328037,93.2975,143.4914
11:53:19 AM,9.945838,7.301161,6.070005,17.19394,8.326222,93.3053,143.5435
11:53:21 AM,9.903635,7.313107,6.069612,17.19371,8.324409,93.3131,143.5955
11:53:23 AM,9.861432,7.325054,6.069219,17.19347,8.322595,93.32089,143.6476
11:53:25 AM,8.992883,7.437214,6.060806,17.19333,8.325569,93.6129,144.679
11:53:27 AM,8.943278,7.444754,6.06034,17.19316,8.32516,93.62588,144.74
11:53:29 AM,8.893675,7.452295,6.059875,17.19298,8.324752,93.63885,144.8009
11:53:31 AM,8.84407,7.459835,6.059409,17.19281,8.324344,93.65184,144.8619
11:53:33 AM,8.014986,7.670009,6.04947,17.21835,8.318431,94.07285,145.6904
11:53:35 AM,7.964841,7.68083,6.048905,17.21941,8.318227,94.09563,145.7434
11:53:37 AM,7.914696,7.69165,6.048339,17.22047,8.318022,94.1184,145.7964
11:53:39 AM,7.864551,7.70247,6.047774,17.22153,8.317818,94.14117,145.8495
11:53:41 AM,7.101995,7.926302,6.038732,17.19127,8.346699,94.99388,146.637
11:53:43 AM,7.055442,7.939339,6.038179,17.19045,8.347795,95.03681,146.6847
11:53:45 AM,7.008889,7.952374,6.037626,17.18963,8.348891,95.07974,146.7323
11:53:47 AM,6.962335,7.965411,6.037073,17.18881,8.349988,95.12267,146.78
11:53:49 AM,6.235372,8.303251,6.02959,17.1925,8.336658,95.76273,147.3325
11:53:51 AM,6.191583,8.321232,6.029118,17.19214,8.336606,95.80428,147.3695
11:53:53 AM,6.147795,8.339213,6.028646,17.19177,8.336555,95.84583,147.4065
11:53:55 AM,6.104007,8.357195,6.028174,17.1914,8.336503,95.88737,147.4435
11:53:57 AM,5.379408,8.667111,6.027638,17.25735,8.412538,97.50401,147.7226
11:53:59 AM,5.336428,8.685905,6.027482,17.26015,8.415465,97.58241,147.7441
11:54:01 AM,5.293449,8.704699,6.027326,17.26294,8.418393,97.66081,147.7656
11:54:03 AM,5.25047,8.723493,6.02717,17.26574,8.421321,97.73921,147.7871
11:54:05 AM,4.544338,9.115557,6.019601,17.37162,8.452166,99.04257,148.4065
11:54:07 AM,4.502215,9.137288,6.019275,17.37714,8.454762,99.12486,148.4373
11:54:09 AM,4.460091,9.159019,6.018949,17.38266,8.457356,99.20715,148.468
11:54:11 AM,4.417968,9.180751,6.018622,17.38818,8.459952,99.28944,148.4988
11:54:13 AM,3.750247,9.528114,6.014977,17.39731,8.565653,101.3768,148.7597
11:54:15 AM,3.710048,9.549426,6.014693,17.39955,8.570579,101.4863,148.7814
11:54:17 AM,3.669849,9.570739,6.01441,17.40178,8.575504,101.5958,148.8031
11:54:19 AM,3.62965,9.592052,6.014126,17.40401,8.58043,101.7053,148.8249
11:54:21 AM,2.907275,10.23003,6.012125,17.86694,9.327027,112.2817,146.8915
11:54:23 AM,2.865487,10.2626,6.011977,17.88627,9.359733,112.7556,146.8164
11:54:25 AM,2.8237,10.29516,6.011828,17.9056,9.392438,113.2295,146.7413
11:54:27 AM,2.781913,10.32773,6.01168,17.92493,9.425143,113.7035,146.6662
11:54:29 AM,1.921161,13.65108,6.00829,18.44831,8.874568,115.5475,144.8989
11:54:31 AM,1.872808,13.7992,6.008113,18.47792,8.864889,115.8079,144.7928
11:54:33 AM,1.824455,13.94732,6.007936,18.50753,8.855211,116.0683,144.6867
11:54:35 AM,1.7761022,14.09544,6.007759,18.53714,8.845532,116.3287,144.5806
11:54:37 AM,0.961399,15.33571,5.996327,18.1495,8.473232,114.5064,143.9142
11:54:39 AM,0.9126235,15.44441,5.995797,18.14277,8.448709,114.4676,143.8556
11:54:41 AM,0.86384796,15.55311,5.995267,18.13603,8.424186,114.4288,143.7971
11:54:43 AM,0.81507246,15.66181,5.994737,18.1293,8.399663,114.39,143.7385
11:54:45 AM,0.1885213,16.15163,5.977493,18.07307,8.198426,112.8182,144.3152
11:54:47 AM,0.1481672,16.19449,5.976582,18.06435,8.183677,112.7248,144.3265
11:54:49 AM,0.1078131,16.23735,5.975672,18.05564,8.168926,112.6314,144.3378
,,,,,,,
Site Name:,Hog Park LPD Summer ,,,,Date:,7/20/2022,
Date Time,Depth (m),Temp (°C),pH (SU),Spc. Cond. (µS/cm),RDO (mg/L),RDO (%Sat),ORP (mV)
11:49:26 AM,29.52763,5.549579,6.22987,20.71567,5.65773,60.53657,191.8432
11:49:28 AM,29.53334,5.548807,6.228588,20.71635,5.656487,60.52197,191.8861
11:49:30 AM,29.55938,5.55393,6.215829,20.70878,5.645151,60.40792,192.0237
11:49:32 AM,29.56349,5.553828,6.214243,20.70921,5.643944,60.39474,192.0387
11:49:34 AM,29.56031,5.561601,6.199672,20.69174,5.635384,60.31702,192.3087
11:49:36 AM,29.56081,5.56249,6.197969,20.68989,5.634254,60.30646,192.3369
11:49:38 AM,29.24963,5.558137,6.197339,20.72493,5.627911,60.26136,191.7411
11:49:40 AM,29.22274,5.55803,6.196786,20.72734,5.627076,60.25488,191.6992
11:49:42 AM,28.93913,5.599149,6.196078,20.67791,5.618171,60.19792,191.6203
11:49:44 AM,28.90403,5.602556,6.195992,20.67483,5.617183,60.19144,191.5933
11:49:46 AM,28.60274,5.592784,6.173159,20.66166,5.620022,60.20214,191.8647
11:49:48 AM,28.51215,5.607736,6.162753,20.55077,5.613423,60.15691,192.7763
11:49:50 AM,28.49467,5.608735,6.161094,20.54035,5.61292,60.15318,192.8674
11:49:52 AM,28.17362,5.633844,6.15664,20.51583,5.618294,60.24843,193.4796
11:49:54 AM,28.14244,5.63662,6.15593,20.50985,5.618545,60.2554,193.5653
11:49:56 AM,27.80401,5.646626,6.146176,20.3948,5.63401,60.44559,193.9497
11:49:58 AM,27.76314,5.648368,6.145177,20.38398,5.635565,60.46569,194.0038
11:50:00 AM,27.37294,5.673501,6.147276,20.32446,5.639257,60.53865,193.8738
11:50:02 AM,27.03297,5.696329,6.136642,20.23018,5.664163,60.83869,194.2234
11:50:04 AM,26.98977,5.699229,6.135736,20.2198,5.66657,60.86857,194.2513
11:50:06 AM,26.97247,5.675792,6.126505,20.21588,5.709577,61.29472,194.521
11:50:08 AM,26.96049,5.674337,6.125285,20.2125,5.714386,61.34408,194.5582
11:50:10 AM,26.45444,5.681206,6.125206,20.18164,5.749044,61.75388,194.1623
11:50:12 AM,26.40869,5.680947,6.124892,20.1789,5.753662,61.80554,194.1353
11:50:14 AM,25.83184,5.721883,6.119862,20.1404,5.7774,62.29151,194.3779
11:50:16 AM,25.76292,5.725732,6.119423,20.1359,5.780715,62.34873,194.3847
11:50:18 AM,25.32407,5.738948,6.111609,20.07466,5.819583,62.58918,194.5198
11:50:20 AM,24.82356,5.760716,6.096791,20.02091,5.860388,63.05438,194.9915
11:50:22 AM,24.76409,5.763082,6.095181,20.01406,5.865368,63.10445,195.0388
11:50:24 AM,24.47076,5.781297,6.08328,20.02459,5.916408,63.68573,195.547
11:50:26 AM,24.42806,5.783654,6.081708,20.02382,5.922331,63.75362,195.609
11:50:28 AM,23.89264,5.80128,6.072318,19.96055,5.970994,64.26538,195.4872
11:50:30 AM,23.83496,5.803467,6.071081,19.95528,5.977085,64.33093,195.4932
11:50:32 AM,23.35294,5.78696,6.061584,19.83502,5.991533,64.49614,195.8268
11:50:34 AM,23.29144,5.786156,6.060418,19.8222,5.994546,64.52897,195.8513
11:50:36 AM,22.90287,5.815257,6.055661,19.79561,6.046707,65.13915,195.8452
11:50:38 AM,22.8514,5.817196,6.054896,19.78894,6.051791,65.19841,195.8567
11:50:40 AM,22.45431,5.835713,6.060042,19.76725,6.107572,65.83117,195.9623
11:50:42 AM,21.9418,5.850099,6.048022,19.7537,6.17205,66.55309,196.2943
11:50:44 AM,21.88503,5.851886,6.047132,19.75177,6.179328,66.63483,196.3265
11:50:46 AM,21.60521,5.883996,6.039324,19.76822,6.23758,67.31625,196.7422
11:50:48 AM,21.5653,5.887215,6.038249,19.76927,6.244601,67.39738,196.7888
11:50:50 AM,21.0117,5.904066,6.032049,19.74395,6.306307,68.09113,197.0791
11:50:52 AM,20.95527,5.906569,6.031275,19.74232,6.313479,68.17265,197.1175
11:50:54 AM,20.58234,5.914649,6.022184,19.75811,6.357189,68.68982,197.7006
11:50:56 AM,20.53233,5.915869,6.02122,19.75853,6.362909,68.75625,197.7589
11:50:58 AM,20.16249,5.93353,6.016888,19.72945,6.389999,69.34636,197.9771
11:51:00 AM,20.11884,5.935305,6.016223,19.72748,6.393729,69.41357,198.0146
11:51:02 AM,19.77135,5.932566,6.008477,19.71973,6.44743,69.69417,197.9269
11:51:04 AM,19.42683,5.969498,6.011946,19.72827,6.490994,70.21533,198.0111
11:51:06 AM,19.38508,5.972765,6.012028,19.72888,6.496614,70.2708,198.0159
11:51:08 AM,19.19919,5.99565,6.003668,19.7522,6.544266,70.82941,198.2305
11:51:10 AM,19.17173,5.998968,6.003063,19.75461,6.549877,70.89632,198.2526
11:51:12 AM,18.76616,6.006816,5.994767,19.73944,6.587122,71.31551,198.4873
11:51:14 AM,18.72541,6.008219,5.993759,19.73892,6.591897,71.36999,198.5148
11:51:16 AM,18.26207,6.026512,5.989157,19.72584,6.619949,71.74413,198.9704
11:51:18 AM,18.20854,6.028343,5.988493,19.72418,6.623571,71.78996,199.0175
11:51:20 AM,17.73967,6.073099,5.983511,19.71455,6.631606,71.92032,199.4751
11:51:22 AM,17.68339,6.077608,5.982927,19.71329,6.633243,71.94422,199.5303
11:51:24 AM,17.20146,6.102818,5.982419,19.73851,6.66437,72.33149,199.614
11:51:26 AM,16.73215,6.122738,5.974517,19.72152,6.695203,72.69873,199.8274
11:51:28 AM,16.6752,6.12526,5.973787,19.72075,6.698961,72.74397,199.849
11:51:30 AM,16.44279,6.153986,5.969465,19.70632,6.729547,73.13047,200.14
11:51:32 AM,16.40754,6.157142,5.968813,19.70439,6.733237,73.17635,200.1729
11:51:34 AM,16.03338,6.167215,5.963236,19.73276,6.752713,73.42646,200.5123
11:51:36 AM,15.99331,6.169042,5.962611,19.73481,6.755414,73.46098,200.5518
11:51:38 AM,15.60412,6.200161,5.961081,19.75928,6.759411,73.57686,200.7592
11:51:40 AM,15.55766,6.20317,5.960758,19.7624,6.760402,73.59518,200.7886
11:51:42 AM,15.19905,6.236431,5.955553,19.77108,6.769883,73.7251,200.827
11:51:44 AM,15.15451,6.240393,5.955048,19.77267,6.770849,73.74043,200.8375
11:51:46 AM,14.85902,6.277593,5.955244,19.81579,6.785166,73.97015,200.9539
11:51:48 AM,14.71972,6.317059,5.951258,19.69865,6.787093,74.0673,200.722
11:51:50 AM,14.69794,6.321811,5.950903,19.68927,6.787706,74.08325,200.7045
11:51:52 AM,14.3237,6.346272,5.950343,19.71267,6.796453,74.25926,200.8887
11:51:54 AM,14.28618,6.349754,5.950153,19.71053,6.797268,74.27785,200.8966
11:51:56 AM,13.92311,6.401014,5.948532,19.65472,6.803775,74.49156,200.7491
11:51:58 AM,13.87807,6.406371,5.948372,19.65069,6.804654,74.51653,200.7426
11:52:00 AM,13.57525,6.495286,5.9475,19.58166,6.800725,74.55663,200.6413
11:52:02 AM,13.28102,6.539411,5.94397,19.54234,6.806056,74.69724,200.8121
11:52:04 AM,13.24478,6.546191,5.943619,19.53666,6.806419,74.71121,200.8252
11:52:06 AM,13.10096,6.619693,5.940029,19.5458,6.810525,74.89516,201.0544
11:52:08 AM,13.07875,6.627582,5.939587,19.54546,6.811088,74.91642,201.0813
11:52:10 AM,12.79093,6.653378,5.938036,19.51013,6.822795,75.14911,200.7942
11:52:12 AM,12.76043,6.658133,5.93778,19.5073,6.82399,75.17625,200.7756
11:52:14 AM,12.4372,6.714936,5.932666,19.52869,6.822099,75.30016,200.7847
11:52:16 AM,12.39845,6.720786,5.932164,19.52926,6.822357,75.31934,200.7748
11:52:18 AM,12.1066,6.822597,5.925048,19.51723,6.808329,75.26765,201.3736
11:52:20 AM,12.07014,6.833236,5.924263,19.51697,6.807094,75.26804,201.424
11:52:22 AM,11.7938,6.926051,5.924561,19.51366,6.803955,75.40607,201.2344
11:52:24 AM,11.61514,7.012088,5.919217,19.48334,6.791148,75.42839,201.4124
11:52:26 AM,11.59092,7.0226,5.918738,19.48047,6.789892,75.43461,201.4223
11:52:28 AM,11.26085,7.114088,5.915936,19.45996,6.782383,75.52353,202.081
11:52:30 AM,11.22599,7.124997,5.915497,19.45706,6.781271,75.53185,202.1466
11:52:32 AM,10.89838,7.181287,5.916884,19.53462,6.769824,75.67116,201.7936
11:52:34 AM,10.85797,7.189376,5.916915,19.54086,6.768555,75.68661,201.7848
11:52:36 AM,10.53075,7.344261,5.913411,19.5579,6.76298,75.75661,201.748
11:52:38 AM,10.49067,7.359681,5.913157,19.56218,6.762082,75.76768,201.7318
11:52:40 AM,10.20179,7.490542,5.906393,19.50667,6.747791,75.85279,202.1072
11:52:42 AM,9.847867,7.605491,5.907797,19.49361,6.737433,75.94804,201.9415
11:52:44 AM,9.807273,7.619783,5.907707,19.49069,6.736048,75.95927,201.9388
11:52:46 AM,9.610206,7.765244,5.903521,19.4875,6.736081,76.23431,201.8428
11:52:48 AM,9.581684,7.781645,5.903209,19.48688,6.735768,76.26163,201.8283
