"","WaterbodyName","Latitude","Longitude","Year","DrainageArea_ha","month","TN","NH4","NO3","PO4","TP","Discharge","estimated"
"1","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Jan",0.3,0.02,0.199,0.012,0.02,14116.4047494441,"Y"
"2","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Feb",0.35,0.04,0.211,0.018,0.02,14861.7150035915,"Y"
"3","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Mar",0.43,0.05,0.202,0.016,0.03,17827.7385463246,"Y"
"4","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Apr",0.55,NA,0.045,0.011,0.11,16459.4575107958,"Y"
"5","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"May",NA,NA,NA,0.028,0.1,45304.3390749163,"Y"
"6","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Jun",NA,NA,NA,0.019,0.15,120876.413476466,"Y"
"7","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Jul",0.62,0.02,0.151,0.053,0.1,53229.2774663102,"Y"
"8","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Aug",NA,0.01,NA,0.011,0.05,15154.9233415775,"Y"
"9","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Sep",0.51,NA,0.113,0.005,0.05,13311.4397548067,"Y"
"10","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Oct",NA,NA,NA,NA,0.05,16303.1960636779,NA
"11","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Nov",NA,NA,NA,NA,0.06,20606.1692649984,NA
"12","Wind River Inlet",43.1289722,-108.2248333,2020,1137005.61,"Dec",0.48,NA,0.163,0.006,0.16,14407.7942353425,NA
"13","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Jan",0.32,NA,0.176,0.009,0.02,15309.3660929652,NA
"14","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Feb",0.37,NA,0.143,0.01,0.04,14249.4417314743,NA
"15","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Mar",0.69,0.04,0.192,0.024,0.09,17693.4618866787,NA
"16","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Apr",NA,NA,NA,0.008,0.05,14387.7897533952,NA
"17","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"May",1.3,0.02,0.046,0.017,0.58,42082.487822369,NA
"18","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Jun",0.51,NA,0.055,0.028,0.23,91501.170287616,NA
"19","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Jul",NA,NA,NA,0.028,0.83,11264.6242636305,NA
"20","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Aug",0.65,NA,0.141,0.021,0.11,8775.48210352723,NA
"21","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Sep",NA,NA,NA,NA,0.04,9634.3351054848,NA
"22","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Oct",0.38,NA,0.05,NA,0.08,26389.4741304155,NA
"23","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Nov",0.26,NA,0.047,NA,0.02,14940.9121568256,NA
"24","Wind River Inlet",43.1289722,-108.2248333,2021,1137005.61,"Dec",0.32,NA,0.165,0.006,0.02,14357.5546688083,NA
"25","Wind River Inlet",43.1289722,-108.2248333,2022,1137005.61,"Jan",0.47,NA,0.176,0.009,0.03,14610.5793948077,NA
"26","Wind River Inlet",43.1289722,-108.2248333,2022,1137005.61,"Feb",0.41,0.03,0.17,0.015,0.04,17693.9838562011,NA
"27","Wind River Inlet",43.1289722,-108.2248333,2022,1137005.61,"Mar",0.5,NA,0.122,0.009,0.07,18638.8791841858,NA
"28","Wind River Inlet",43.1289722,-108.2248333,2022,1137005.61,"Apr",0.21,NA,0.045,0.005,0.04,13526.013722112,NA
"29","Wind River Inlet",43.1289722,-108.2248333,2022,1137005.61,"May",NA,NA,NA,0.004,0.09,27317.5359413017,NA
"30","Wind River Inlet",43.1289722,-108.2248333,2022,1137005.61,"Jun",NA,NA,NA,0.016,0.1,125783.432561664,NA
"31","Wind River Inlet",43.1289722,-108.2248333,2022,1137005.61,"Jul",NA,NA,NA,0.019,0.05,26851.6781425301,NA
"32","Wind River Inlet",43.1289722,-108.2248333,2022,1137005.61,"Aug",0.55,NA,0.137,0.026,0.15,11754.2316756728,NA
"33","Wind River Inlet",43.1289722,-108.2248333,2022,1137005.61,"Sep",NA,NA,NA,0.006,0.03,10266.7446793728,NA
"34","Wind River Inlet",43.1289722,-108.2248333,2022,1137005.61,"Oct",0.22,NA,0.041,NA,0.01,21045.8111445058,NA
"35","Wind River Inlet",43.1289722,-108.2248333,2022,1137005.61,"Nov",NA,NA,NA,NA,0.03,20008.6838019072,NA
"36","Wind River Inlet",43.1289722,-108.2248333,2022,1137005.61,"Dec",0.97,0.03,0.232,0.005,0.14,14133.760236065,NA
"37","Wind River Inlet",43.1289722,-108.2248333,2023,1137005.61,"Jan",0.42,0.07,0.183,0.02,0.14,15534.9874190369,NA
"38","Wind River Inlet",43.1289722,-108.2248333,2023,1137005.61,"Feb",0.37,0.04,0.181,0.018,0.03,15042.3134360503,NA
"39","Wind River Inlet",43.1289722,-108.2248333,2023,1137005.61,"Mar",1.1,0.08,0.217,0.017,0.14,16076.6612909419,NA
"40","Wind River Inlet",43.1289722,-108.2248333,2023,1137005.61,"Apr",0.57,NA,0.057,0.021,0.09,30179.1512028672,NA
"41","Wind River Inlet",43.1289722,-108.2248333,2023,1137005.61,"May",0.8,NA,0.05,0.013,0.18,109768.885643892,NA
"42","Wind River Inlet",43.1289722,-108.2248333,2023,1137005.61,"May",0.66,NA,0.055,0.022,0.31,109768.885643892,NA
"43","Wind River Inlet",43.1289722,-108.2248333,2023,1137005.61,"Jul",NA,NA,NA,0.013,0.22,80135.7624086957,NA
"44","Wind River Inlet",43.1289722,-108.2248333,2023,1137005.61,"Aug",0.64,NA,0.093,0.02,0.17,27764.2113601239,NA
"45","Wind River Inlet",43.1289722,-108.2248333,2023,1137005.61,"Oct",NA,0.015,0.101,0.005,NA,36012.6347383742,NA
"46","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Jan",1.8,0.02,1.39,NA,0.02,1949.38652619314,NA
"47","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Feb",1.7,0.01,1.17,0.005,0.05,2168.87516035001,NA
"48","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Mar",1.9,0.04,1.15,0.007,0.13,2348.47137380748,NA
"49","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Apr",1.1,0.02,0.407,0.006,0.21,2516.23498816512,NA
"50","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"May",1.3,0.04,0.462,0.19,0.46,6020.5269641249,NA
"51","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Jun",1.3,0.01,0.618,0.095,0.3,8172.2419264512,NA
"52","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Jul",1.1,0.02,0.507,0.102,0.26,8144.2904585249,NA
"53","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Aug",1.1,NA,0.554,0.054,0.15,8759.04006357058,NA
"54","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Sep",1,NA,0.554,0.031,0.13,10142.150554368,NA
"55","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Oct",1.7,NA,1.24,NA,0.06,2832.87213986354,NA
"56","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Nov",1.9,NA,1.38,NA,0.04,2105.64071258112,NA
"57","Fivemile Creek",43.22191667,-108.2196944,2020,108261.582,"Dec",1.9,NA,1.47,NA,0.04,2166.05607495515,NA
"58","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Jan",1.9,NA,1.47,0.005,0.03,2251.5546827297,NA
"59","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Feb",2,NA,1.49,NA,0.03,2013.53005588114,NA
"60","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Mar",1.5,NA,0.98,NA,0.07,1769.34618866787,NA
"61","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Apr",0.84,0.02,0.291,0.005,0.2,2645.83175606784,NA
"62","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"May",1,NA,0.349,0.067,0.34,5435.00765233548,NA
"63","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Jun",1.2,NA,0.524,0.118,0.25,7331.2315826688,NA
"64","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Jul",1.2,NA,0.581,0.085,0.16,7318.53467403561,NA
"65","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Aug",1.3,0.03,0.506,0.067,0.26,9233.11888232052,NA
"66","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Sep",0.88,NA,0.424,0.036,0.12,8835.8000315904,NA
"67","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Oct",1.6,0.02,1.07,NA,0.03,3572.48990391329,NA
"68","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Nov",1.5,NA,0.972,NA,0.03,2588.34855748608,NA
"69","Fivemile Creek",43.22191667,-108.2196944,2021,108261.582,"Dec",2.1,NA,1.64,NA,0.02,1661.28544828614,NA
"70","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Jan",1.9,0.07,1.41,0.011,0.03,1305.68066189048,NA
"71","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Feb",2,0.07,1.25,0.01,0.1,1136.82025907383,NA
"72","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Mar",1.7,0.04,1.06,0.012,0.1,1484.89889741791,NA
"73","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Apr",1.6,0.05,0.552,0.01,0.21,2169.73117536768,NA
"74","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"May",0.52,NA,0.126,0.015,0.08,5618.61043185136,NA
"75","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Jun",0.99,NA,0.393,0.078,0.27,7724.8357502976,NA
"76","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Jul",1.1,NA,0.469,0.093,0.22,8682.3105437729,NA
"77","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Aug",1,0.02,0.463,0.061,0.23,10025.9905868965,NA
"78","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Sep",1.1,NA,0.422,0.055,0.12,9539.0017219584,NA
"79","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Oct",1.6,NA,1.01,NA,0.04,4219.210142208,NA
"80","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Nov",1.6,NA,1.14,NA,NA,2552.95249924608,NA
"81","Fivemile Creek",43.22191667,-108.2196944,2022,108261.582,"Dec",1.8,0.06,1.31,NA,0.02,1798.02841392557,NA
"82","Fivemile Creek",43.22191667,-108.2196944,2023,108261.582,"Jan",1.6,0.07,1.08,0.009,0.04,1821.50399319701,NA
"83","Fivemile Creek",43.22191667,-108.2196944,2023,108261.582,"Feb",1.7,0.1,1.08,0.012,0.05,1419.78646180389,NA
"84","Fivemile Creek",43.22191667,-108.2196944,2023,108261.582,"Mar",2.3,0.17,1.08,0.021,0.05,1762.31264935308,NA
"85","Fivemile Creek",43.22191667,-108.2196944,2023,108261.582,"Apr",2.8,0.64,0.774,0.186,0.47,4051.48002089472,NA
"86","Fivemile Creek",43.22191667,-108.2196944,2023,108261.582,"May",0.86,NA,0.391,0.005,0.1,6010.47905081806,NA
"87","Fivemile Creek",43.22191667,-108.2196944,2023,108261.582,"Jun",0.77,NA,0.254,0.07,0.37,12023.3330629632,NA
"88","Fivemile Creek",43.22191667,-108.2196944,2023,108261.582,"Jul",0.96,NA,0.326,0.045,0.25,8743.51147027819,NA
"89","Fivemile Creek",43.22191667,-108.2196944,2023,108261.582,"Aug",1.1,NA,0.397,0.095,0.26,11098.3769707355,NA
"90","Fivemile Creek",43.22191667,-108.2196944,2023,108261.582,"Oct",NA,0.049,1,0.005,NA,6899.26265514116,NA
"91","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Jan",1.7,0.01,1.49,NA,NA,152.44968103135,"Y"
"92","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Feb",1.5,0.01,1.16,0.005,NA,169.951346143583,"Y"
"93","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Mar",1.4,0.03,1.04,0.005,0.01,279.532948196253,"Y"
"94","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Apr",2.3,NA,0.099,0.006,0.91,729.865147750656,"Y"
"95","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"May",NA,NA,NA,0.007,0.23,882.155026362797,"Y"
"96","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Jun",0.88,NA,0.07,0.007,0.3,1334.79322202112,"Y"
"97","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Jul",1.5,0.01,0.337,0.024,0.58,1116.23182372335,"Y"
"98","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Aug",0.7,NA,0.148,0.005,0.12,1243.09434127773,"Y"
"99","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Sep",0.75,NA,0.328,0.004,0.1,979.81008682752,"Y"
"100","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Oct",1.2,NA,0.831,NA,NA,231.120274990575,NA
"101","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Nov",1.6,NA,1.11,NA,0.09,245.12950199808,NA
"102","Muddy Creek",43.2860692,-108.2756554,2020,85987.668,"Dec",2.1,NA,1.82,NA,NA,108.873707912919,NA
"103","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Jan",2.2,NA,1.87,NA,NA,67.7777424879484,NA
"104","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Feb",2,NA,1.68,NA,0.01,86.3057031486171,NA
"105","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Mar",1.3,0.02,0.47,NA,0.08,254.102593063308,NA
"106","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Apr",0.65,NA,0.152,0.011,0.41,926.357319410688,NA
"107","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"May",NA,NA,NA,NA,0.11,697.325183494606,NA
"108","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Jun",0.97,NA,0.05,0.035,0.26,878.19980230656,NA
"109","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Jul",1.2,NA,0.467,0.045,0.21,656.037394270142,NA
"110","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Aug",2.3,NA,0.253,0.021,1,859.918689732542,NA
"111","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Sep",1.2,NA,0.479,0.009,0.43,924.5450412288,NA
"112","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Oct",1.9,NA,1.47,NA,0.02,219.976225686627,NA
"113","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Nov",1.7,NA,1.33,NA,0.01,163.492033273344,NA
"114","Muddy Creek",43.2860692,-108.2756554,2021,85987.668,"Dec",2,NA,1.67,NA,NA,110.992904173997,NA
"115","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Jan",2.1,0.03,1.79,NA,NA,112.180384837533,NA
"116","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Feb",1.7,NA,1.43,NA,NA,130.146249568731,NA
"117","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Mar",1.3,0.02,0.852,NA,0.03,218.195004691324,NA
"118","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Apr",3.9,0.08,0.229,NA,0.88,522.615720701952,NA
"119","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"May",0.58,NA,0.062,0.005,0.22,866.952229047329,NA
"120","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Jun",0.86,0.02,0.276,0.008,0.13,772.76674349568,NA
"121","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Jul",1.1,NA,0.282,0.017,0.22,649.734612286761,NA
"122","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Aug",1.5,0.03,0.511,0.02,0.42,746.833992697394,NA
"123","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Sep",1.7,NA,0.42,0.006,0.41,736.61556934656,NA
"124","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Oct",1.5,NA,1.15,NA,0.01,263.785127704444,NA
"125","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Nov",1.9,0.04,1.53,NA,NA,191.554028246016,NA
"126","Muddy Creek",43.2860692,-108.2756554,2022,85987.668,"Dec",2,NA,1.74,NA,NA,159.542594379314,NA
"127","Muddy Creek",43.2860692,-108.2756554,2023,85987.668,"Jan",2,0.03,1.7,NA,NA,86.192827239391,NA
"128","Muddy Creek",43.2860692,-108.2756554,2023,85987.668,"Feb",1.7,0.05,1.37,NA,NA,92.3028067304229,NA
"129","Muddy Creek",43.2860692,-108.2756554,2023,85987.668,"Mar",3.8,0.63,1.13,NA,0.03,132.879086249621,NA
"130","Muddy Creek",43.2860692,-108.2756554,2023,85987.668,"Apr",1.5,0.06,0.573,NA,0.06,288.822396289536,NA
"131","Muddy Creek",43.2860692,-108.2756554,2023,85987.668,"May",1.7,NA,0.196,0.008,0.74,822.065459965688,NA
"132","Muddy Creek",43.2860692,-108.2756554,2023,85987.668,"Jul",1.1,0.02,0.455,0.015,0.33,1179.71636688929,NA
"133","Muddy Creek",43.2860692,-108.2756554,2023,85987.668,"Aug",1.4,NA,0.403,0.012,0.33,975.83507142689,NA
"134","Muddy Creek",43.2860692,-108.2756554,2023,85987.668,"Oct",NA,0.035,0.583,0.002,NA,654.064349475345,NA
"135","Wind River Outlet",43.42496,-108.179,2020,1994551.299,"Jan",0.35,0.03,0.147,0.01,0.03,30185.3702522397,NA
"136","Wind River Outlet",43.42496,-108.179,2020,1994551.299,"Feb",0.32,0.03,0.052,0.013,0.02,29692.9769853622,NA
"137","Wind River Outlet",43.42496,-108.179,2020,1994551.299,"Mar",0.33,0.04,0.075,0.014,0.02,40560.7313520483,NA
"138","Wind River Outlet",43.42496,-108.179,2020,1994551.299,"Apr",NA,0.01,NA,NA,0.03,57575.0112373601,NA
"139","Wind River Outlet",43.42496,-108.179,2020,1994551.299,"May",NA,0.04,NA,0.012,0.03,44576.4210102263,NA
"140","Wind River Outlet",43.42496,-108.179,2020,1994551.299,"Jun",0.32,NA,0.128,0.018,0.03,40440.5581566574,NA
"141","Wind River Outlet",43.42496,-108.179,2020,1994551.299,"Jul",NA,0.02,NA,0.009,0.03,39481.7453160601,NA
"142","Wind River Outlet",43.42496,-108.179,2020,1994551.299,"Aug",0.31,0.02,0.053,0.019,0.03,34851.8038812684,NA
"143","Wind River Outlet",43.42496,-108.179,2020,1994551.299,"Sep",0.38,0.04,0.112,0.076,0.08,27535.046302494,NA
"144","Wind River Outlet",43.42496,-108.179,2020,1994551.299,"Oct",0.36,0.03,0.045,0.031,0.05,19899.9410213495,NA
"145","Wind River Outlet",43.42496,-108.179,2020,1994551.299,"Nov",NA,NA,NA,NA,0.01,19846.3993248252,NA
"146","Wind River Outlet",43.42496,-108.179,2020,1994551.299,"Dec",NA,0.02,NA,0.005,0.06,17933.1807396022,NA
"147","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Jan",NA,0.02,NA,0.009,0.02,16932.5151430185,NA
"148","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Feb",NA,0.02,NA,0.008,0.02,17148.0289860117,NA
"149","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Mar",0.27,NA,0.069,0.006,0.02,17268.466210986,NA
"150","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Apr",NA,NA,NA,0.004,0.03,17638.4551942449,NA
"151","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Jun",NA,0.03,NA,0.012,0.02,36917.0410209961,NA
"152","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Jul",0.34,NA,0.081,0.025,0.03,33800.0020180085,NA
"153","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Aug",0.3,NA,0.077,0.023,0.02,31988.0892147862,NA
"154","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Sep",0.34,0.06,0.043,0.058,0.08,30223.0206055024,NA
"155","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Oct",0.4,0.05,0.071,0.046,0.05,22329.9353785665,NA
"156","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Nov",0.39,0.05,0.061,0.04,0.05,19660.3205161836,NA
"157","Wind River Outlet",43.42496,-108.179,2021,1994551.299,"Dec",0.37,0.04,0.059,0.028,0.05,19711.7652233501,NA
"158","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Jan",NA,NA,NA,NA,0.02,19893.101741692,NA
"159","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Feb",NA,NA,NA,NA,0.02,20188.0376516412,NA
"160","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Mar",NA,NA,NA,NA,0.01,20170.6570778601,NA
"161","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Apr",0.31,0.03,0.042,0.011,0.02,21355.5368542602,NA
"162","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"May",NA,NA,NA,NA,0.02,52303.5175410179,NA
"163","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Jun",NA,NA,NA,NA,0.01,71914.8700084239,NA
"164","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Jul",NA,NA,NA,0.007,0.14,49293.9756818203,NA
"165","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Aug",0.28,0.03,0.058,0.018,0.03,33165.0013004162,NA
"166","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Sep",0.44,0.02,0.059,0.028,0.04,31144.8868730436,NA
"167","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Oct",0.39,0.02,0.076,0.023,0.04,25509.1490422034,NA
"168","Wind River Outlet",43.42496,-108.179,2022,1994551.299,"Nov",NA,NA,NA,NA,0.02,25505.6963660536,NA
"169","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Feb",NA,NA,NA,NA,0.01,26259.6388115666,NA
"170","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Mar",NA,0.02,NA,NA,0.01,28824.5685648412,NA
"171","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Apr",NA,0.02,NA,NA,0.4,74573.5481738957,NA
"172","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"May",NA,0.04,NA,NA,0.01,67572.6006360893,NA
"173","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Jun",NA,0.04,NA,0.01,0.05,156400.815282389,NA
"174","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Jul",NA,0.03,NA,0.016,0.04,132594.620689438,NA
"175","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Aug",0.32,NA,0.09,0.02,0.04,52000.1253659513,NA
"176","Wind River Outlet",43.42496,-108.179,2023,1994551.299,"Oct",NA,0.096,0.106,0.009,NA,40031.7726577098,NA
